targettype,targetsize,targetimage,temperature,sizereport,imagereport,temperaturereport
WildAnimal,0.489590261,Others,96.6309099,0.48930955,Others,96.8901719
FeatheredAnimal,0.516930243,Others,96.71693053,0.513206296,Others,96.32097818
FeatheredAnimal,0.613826384,Others,96.73980944,0.600782914,Others,97.8333903
FeatheredAnimal,0.458181546,Others,96.85231802,0.459655782,Others,94.63516101
FeatheredAnimal,0.516930243,Others,96.71693053,0.515423708,Others,96.85283349
FeatheredAnimal,0.396397954,Others,96.8600437,0.392632493,CommercialRWA,95.67062251
WildAnimal,0.485088864,Others,96.8366631,0.485929233,Others,97.77522457
FeatheredAnimal,0.516930243,Others,96.71693053,0.524246156,Others,94.93660119
WildAnimal,0.51050071,Others,96.98477283,0.503835902,Others,98.70871289
WildAnimal,0.489590261,Others,96.6309099,0.490024694,Others,96.53164647
WildAnimal,0.495742789,Others,96.60544782,0.500656096,Others,97.87652138
WildAnimal,0.501947538,Others,96.77452206,0.493497803,Others,94.62810263
WildAnimal,0.502281071,Others,96.65036116,0.503189112,Others,98.19025745
WildAnimal,0.502281071,Others,96.65036116,0.515662503,Others,94.93137788
WildAnimal,0.51050071,Others,96.98477283,0.515508076,Others,96.95744054
FeatheredAnimal,0.458181546,Others,96.85231802,0.447122051,Others,96.56250529
FeatheredAnimal,0.516930243,Others,96.71693053,0.517017883,Others,96.63791213
FeatheredAnimal,0.516930243,Others,96.71693053,0.516824568,Others,96.2092837
WildAnimal,0.539146422,Others,96.90037445,0.538085296,Others,97.48390535
WildAnimal,0.51050071,Others,96.98477283,0.505574341,Others,96.52678323
WildAnimal,0.502281071,Others,96.65036116,0.496477367,Others,98.31773854
WildAnimal,0.470208838,Others,96.98772838,0.473076471,Others,95.08232595
WildAnimal,0.495742789,Others,96.60544782,0.500249242,Others,95.44131249
WildAnimal,1.611819312,Others,96.91930208,1.642204097,Others,96.01938936
FeatheredAnimal,0.319734892,Others,96.83506959,0.325630958,Others,96.99591734
FeatheredAnimal,0.613826384,Others,96.73980944,0.620893539,Others,96.13152668
WildAnimal,0.539146422,Others,96.90037445,0.539242965,Others,97.55933688
FeatheredAnimal,0.319734892,Others,96.83506959,0.321968153,Others,96.93620881
FeatheredAnimal,0.516930243,Others,96.71693053,0.516516678,Others,96.58547006
FeatheredAnimal,0.396397954,Others,96.8600437,0.396956213,Others,96.70947156
WildAnimal,0.501947538,Others,96.77452206,0.496453285,Others,99.41808747
WildAnimal,0.512472092,Others,96.70561736,0.516562958,Others,95.90171487
WildAnimal,0.51050071,Others,96.98477283,0.511651045,Others,97.52354576
FeatheredAnimal,0.516930243,Others,96.71693053,0.526200052,Others,97.73336088
WildAnimal,0.485952808,Others,96.80596995,0.492781811,Others,98.93777109
FeatheredAnimal,0.458181546,Others,96.85231802,0.467927714,Others,97.06703686
WildAnimal,0.539146422,Others,96.90037445,0.539337139,Others,97.76088571
FeatheredAnimal,0.613826384,Others,96.73980944,0.610432487,Others,97.19547621
WildAnimal,1.571614956,Others,96.80252007,1.569953814,Others,96.75845536
WildAnimal,0.539146422,Others,96.90037445,0.539335514,Others,96.03471124
WildAnimal,0.502281071,Others,96.65036116,0.505994502,Others,96.5966781
FeatheredAnimal,0.319734892,Others,96.83506959,0.322500702,Others,96.64320053
FeatheredAnimal,0.396397954,Others,96.8600437,0.396330008,Others,98.37094371
FeatheredAnimal,0.319734892,Others,96.83506959,0.318222199,Others,96.23648487
FeatheredAnimal,0.419100454,Others,96.66220259,0.420619931,Others,97.12559835
FeatheredAnimal,0.458181546,Others,96.85231802,0.454221391,Others,96.85015885
FeatheredAnimal,0.581316127,Others,96.64405654,0.587993805,Others,96.2263378
FeatheredAnimal,0.396397954,Others,96.8600437,0.397686232,Others,97.59041895
UAV,1.897914704,MilitaryFWA,72.2,1.940321045,MilitaryFWA,71.96075133
FeatheredAnimal,0.319734892,Others,96.83506959,0.319806631,Others,97.02603741
WildAnimal,0.485952808,Others,96.80596995,0.482313789,Others,97.75853804
WildAnimal,0.489590261,Others,96.6309099,0.488015963,Others,96.85118394
FeatheredAnimal,0.516930243,Others,96.71693053,0.522550992,Others,97.73567669
FeatheredAnimal,0.319734892,Others,96.83506959,0.319435269,Others,96.62586534
FeatheredAnimal,0.458181546,Others,96.85231802,0.462056411,Others,95.77614502
WildAnimal,0.512472092,Others,96.70561736,0.512622134,Others,96.67150913
FeatheredAnimal,0.319734892,Others,96.83506959,0.319531041,Others,96.54963885
FeatheredAnimal,0.396397954,Others,96.8600437,0.395384782,Others,97.49208006
WildAnimal,0.485088864,Others,96.8366631,0.463807029,Others,97.68302789
FeatheredAnimal,0.436686299,Others,96.91768593,0.43013457,Others,95.94575467
FeatheredAnimal,0.545474605,Others,96.87645577,0.53939589,Others,96.64884035
FeatheredAnimal,0.516930243,Others,96.71693053,0.513733674,Others,96.73094226
FeatheredAnimal,0.458181546,Others,96.85231802,0.453715159,Others,95.8026218
WildAnimal,0.502281071,Others,96.65036116,0.503075263,Others,96.83649843
WildAnimal,0.489590261,Others,96.6309099,0.493001922,Others,96.41732686
FeatheredAnimal,0.516930243,Others,96.71693053,0.520975996,Others,96.72717281
FeatheredAnimal,0.419100454,Others,96.66220259,0.42042846,Others,94.12593793
FeatheredAnimal,0.613826384,Others,96.73980944,0.622157577,Others,96.77540778
WildAnimal,0.539146422,Others,96.90037445,0.538605566,Others,96.74519682
FeatheredAnimal,0.319734892,Others,96.83506959,0.313826049,Others,97.25688082
FeatheredAnimal,0.516930243,Others,96.71693053,0.514503983,Others,96.78069158
WildAnimal,0.512472092,Others,96.70561736,0.510794945,Others,96.41452503
WildAnimal,0.512472092,Others,96.70561736,0.520036485,Others,96.83031163
FeatheredAnimal,0.319734892,Others,96.83506959,0.320343031,Others,99.1238607
FeatheredAnimal,0.396397954,Others,96.8600437,0.396223497,Others,97.05968346
FeatheredAnimal,0.516930243,Others,96.71693053,0.513977934,Others,96.7560371
FeatheredAnimal,0.516930243,Others,96.71693053,0.520487355,Others,96.99514877
FeatheredAnimal,0.396397954,Others,96.8600437,0.397338384,Others,96.01404225
FeatheredAnimal,0.319734892,Others,96.83506959,0.316868991,Others,94.81095766
WildAnimal,0.512472092,Others,96.70561736,0.531944693,Others,94.76833691
WildAnimal,0.51050071,Others,96.98477283,0.509633396,Others,96.18079213
WildAnimal,0.512472092,Others,96.70561736,0.511162953,Others,94.14165778
WildAnimal,1.611819312,Others,96.91930208,1.654284099,Others,96.74965356
FeatheredAnimal,0.545474605,Others,96.87645577,0.545853786,Others,97.14365198
FeatheredAnimal,0.319734892,Others,96.83506959,0.317127086,Others,96.55717123
FeatheredAnimal,0.319734892,Others,96.83506959,0.320827177,CommercialWheeled,97.41189161
FeatheredAnimal,0.516930243,Others,96.71693053,0.514199778,Others,97.05452278
FeatheredAnimal,0.613826384,Others,96.73980944,0.618563336,Others,94.63650607
FeatheredAnimal,0.436686299,Others,96.91768593,0.432922326,Others,96.3740775
WildAnimal,0.495742789,Others,96.60544782,0.50039867,Others,94.11865449
FeatheredAnimal,0.613826384,Others,96.73980944,0.62572945,Others,103.0399478
WildAnimal,0.539146422,Others,96.90037445,0.538442442,Others,96.62242767
WildAnimal,1.571614956,Others,96.80252007,1.542177201,Others,96.87952076
WildAnimal,1.611819312,Others,96.91930208,1.635989551,Others,97.84125163
FeatheredAnimal,0.613826384,Others,96.73980944,0.612760083,Others,97.10538237
WildAnimal,1.611819312,Others,96.91930208,1.587204541,Others,97.2175794
FeatheredAnimal,0.516930243,Others,96.71693053,0.510415881,Others,95.68669387
FeatheredAnimal,0.516930243,Others,96.71693053,0.513370081,Others,96.61891596
FeatheredAnimal,0.396397954,Others,96.8600437,0.396979456,Others,97.15024483
FeatheredAnimal,0.516930243,Others,96.71693053,0.510752345,Others,96.95490398
FeatheredAnimal,0.396397954,Others,96.8600437,0.396176097,Others,97.37957476
WildAnimal,0.489590261,Others,96.6309099,0.487441217,Others,96.20711237
WildAnimal,0.502281071,Others,96.65036116,0.49200744,Others,99.06679302
WildAnimal,0.516317545,Others,96.90316813,0.517232188,Others,95.49125053
FeatheredAnimal,0.613826384,Others,96.73980944,0.612636239,Others,96.29772827
UAV,2.193771521,MilitaryFWA,72.2,2.267554383,MilitaryFWA,71.81143051
WildAnimal,0.495742789,Others,96.60544782,0.49128601,Others,97.75044285
WildAnimal,0.51050071,Others,96.98477283,0.511914026,Others,97.84407732
WildAnimal,0.51050071,Others,96.98477283,0.508101247,Others,96.83670993
FeatheredAnimal,0.396397954,Others,96.8600437,0.407212572,Others,95.42070861
WildAnimal,0.502281071,Others,96.65036116,0.502120509,Others,97.43828909
WildAnimal,0.501947538,Others,96.77452206,0.504465171,Others,97.40838312
WildAnimal,0.470208838,Others,96.98772838,0.483228517,Others,99.15565145
WildAnimal,0.470208838,Others,96.98772838,0.470495251,Others,97.08459725
WildAnimal,0.539146422,Others,96.90037445,0.534750293,Others,96.74460269
WildAnimal,0.51050071,Others,96.98477283,0.511445212,Others,96.95983485
WildAnimal,0.482668261,Others,96.96621886,0.49742822,Others,95.89311774
WildAnimal,0.539146422,Others,96.90037445,0.540145411,Others,97.03842762
FeatheredAnimal,0.613826384,Others,96.73980944,0.612487314,Others,97.56924095
WildAnimal,0.485952808,Others,96.80596995,0.49805816,Others,96.50014823
WildAnimal,1.611819312,Others,96.91930208,1.592803965,Others,98.20018469
WildAnimal,0.51050071,Others,96.98477283,0.506193201,Others,97.0828326
WildAnimal,0.51050071,Others,96.98477283,0.512184323,Others,97.45214738
FeatheredAnimal,0.458181546,Others,96.85231802,0.444359532,Others,95.3804845
WildAnimal,0.512472092,Others,96.70561736,0.515437597,Others,100.4113026
FeatheredAnimal,0.419100454,Others,96.66220259,0.412549305,Others,97.66647272
FeatheredAnimal,0.516930243,Others,96.71693053,0.5207476,Others,96.0301199
WildAnimal,0.539146422,Others,96.90037445,0.533405101,Others,96.80318611
WildAnimal,0.495742789,Others,96.60544782,0.509339692,Others,97.64986508
UAV,2.193771521,MilitaryFWA,72.2,2.194932934,MilitaryFWA,71.90150691
FeatheredAnimal,0.458181546,Others,96.85231802,0.463486144,Others,96.80062873
FeatheredAnimal,0.436686299,Others,96.91768593,0.438017339,Others,96.71982729
FeatheredAnimal,0.396397954,Others,96.8600437,0.391252624,Others,97.0219996
WildAnimal,0.51050071,Others,96.98477283,0.51265838,Others,97.54935487
WildAnimal,0.539146422,Others,96.90037445,0.538260424,Others,97.62006514
WildAnimal,0.470208838,Others,96.98772838,0.461257277,Others,95.59645257
FeatheredAnimal,0.396397954,Others,96.8600437,0.395304777,Others,97.47631377
WildAnimal,0.482668261,Others,96.96621886,0.482365364,Others,95.58877855
FeatheredAnimal,0.319734892,Others,96.83506959,0.317562785,Others,97.35319182
WildAnimal,0.539146422,Others,96.90037445,0.537824972,Others,96.72515257
FeatheredAnimal,0.545474605,Others,96.87645577,0.548317297,Others,96.77115582
FeatheredAnimal,0.396397954,Others,96.8600437,0.391013131,Others,95.95825586
FeatheredAnimal,0.613826384,Others,96.73980944,0.607667222,Others,96.85662508
WildAnimal,1.571614956,Others,96.80252007,1.571108246,Others,96.6610815
WildAnimal,1.611819312,Others,96.91930208,1.616773065,Others,94.90414141
FeatheredAnimal,0.516930243,Others,96.71693053,0.515893458,Others,96.23688602
WildAnimal,0.485088864,Others,96.8366631,0.490098592,Others,96.31377019
FeatheredAnimal,0.516930243,Others,96.71693053,0.514142412,Others,96.87132559
FeatheredAnimal,0.516930243,Others,96.71693053,0.519716236,MilitaryRWA,96.27731338
WildAnimal,0.539146422,Others,96.90037445,0.541260175,Others,97.07324969
WildAnimal,0.502281071,Others,96.65036116,0.4954066,Others,96.08333042
WildAnimal,0.539146422,Others,96.90037445,0.538116465,Others,97.02192441
Terrorist,2.124880995,HumanWithWeapon,96.94674693,2.078515146,HumanWithWeapon,95.91917
FeatheredAnimal,0.516930243,Others,96.71693053,0.511605687,Others,98.92341638
FeatheredAnimal,0.396397954,Others,96.8600437,0.39365688,Others,95.71653274
FeatheredAnimal,0.545474605,Others,96.87645577,0.544359466,Others,96.86019847
FeatheredAnimal,0.516930243,Others,96.71693053,0.519268971,Others,95.76318016
WildAnimal,0.512472092,Others,96.70561736,0.513577633,Others,96.80129732
FeatheredAnimal,0.516930243,Others,96.71693053,0.517187392,Others,96.53101491
WildAnimal,0.51050071,Others,96.98477283,0.510893177,Others,97.24000285
