Danger_Level__rgn1_T3,Speed_RPT__I2_t2,Speed_RPT__i1_t2,Speed_RPT__i1_T3,Speed_RPT__I2_T3,Speed_RPT__i3_t2,Speed_RPT__i3_T3,VehicleType__v2,VehicleType__v1,VehicleType__v3,MTI_Condition__v2_mti1_t2,Speed__v2_t2,MTI_Condition__v1_mti1_t2,Speed__v1_t2,MTI_Condition__v1_mti1_T3,Speed__v1_T3,MTI_Condition__v2_mti1_T3,Speed__v2_T3,MTI_Condition__v3_mti1_t2,Speed__v3_t2,MTI_Condition__v3_mti1_T3,Speed__v3_T3,Speed__v2_t1,Speed__v1_t1,Speed__v3_t1
High,Slow,Slow,Fast,Slow,Slow,Fast,Tracked,Wheeled,Wheeled,Good,Slow,Bad,Slow,Good,Fast,Good,Slow,Good,Slow,Good,Fast,Fast,Fast,Fast
High,Fast,Slow,Fast,Fast,Slow,Fast,Wheeled,Wheeled,Tracked,Good,Fast,Good,Slow,Good,Fast,Good,Fast,Bad,Slow,Good,Fast,Slow,Slow,Slow
Low,Fast,Slow,Slow,Fast,Fast,Slow,Wheeled,Wheeled,Wheeled,Good,Slow,Good,Slow,Good,Slow,Good,Fast,Good,Fast,Good,Fast,Fast,Slow,Slow
Low,Fast,Fast,Slow,Fast,Slow,Fast,Wheeled,Wheeled,Wheeled,Good,Fast,Good,Fast,Good,Slow,Good,Fast,Good,Slow,Bad,Fast,Fast,Fast,Fast
Low,Fast,Slow,Slow,Fast,Slow,Fast,Wheeled,Tracked,Wheeled,Bad,Fast,Good,Slow,Good,Slow,Good,Fast,Good,Slow,Good,Fast,Fast,Fast,Slow
High,Fast,Fast,Fast,Fast,Fast,Fast,Wheeled,Wheeled,Wheeled,Good,Fast,Good,Fast,Good,Fast,Good,Fast,Good,Fast,Bad,Slow,Slow,Slow,Fast
Low,Fast,Fast,Fast,Slow,Slow,Slow,Wheeled,Wheeled,Wheeled,Bad,Fast,Good,Fast,Good,Fast,Good,Slow,Good,Slow,Good,Slow,Slow,Slow,Fast
Low,Fast,Fast,Fast,Fast,Fast,Slow,Wheeled,Wheeled,Wheeled,Bad,Fast,Good,Fast,Good,Fast,Good,Fast,Good,Fast,Bad,Fast,Fast,Fast,Slow
High,Fast,Fast,Fast,Slow,Fast,Fast,Tracked,Wheeled,Wheeled,Good,Slow,Good,Fast,Good,Fast,Good,Slow,Good,Fast,Good,Fast,Fast,Fast,Slow
Low,Slow,Fast,Fast,Fast,Fast,Fast,Wheeled,Wheeled,Wheeled,Good,Slow,Good,Fast,Good,Fast,Good,Fast,Good,Fast,Bad,Fast,Slow,Slow,Fast
Low,Slow,Fast,Fast,Fast,Fast,Slow,Tracked,Wheeled,Wheeled,Good,Slow,Good,Fast,Good,Fast,Good,Fast,Good,Fast,Bad,Slow,Fast,Slow,Fast
High,Slow,Slow,Fast,Fast,Slow,Fast,Wheeled,Wheeled,Wheeled,Good,Slow,Good,Slow,Good,Slow,Good,Fast,Good,Slow,Good,Fast,Slow,Fast,Slow
Low,Slow,Slow,Fast,Slow,Fast,Slow,Wheeled,Wheeled,Wheeled,Good,Fast,Bad,Fast,Bad,Fast,Bad,Slow,Good,Fast,Bad,Slow,Fast,Slow,Fast
