,TargetType,g,MilitaryTracked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,g.t,Moving,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SoundType,g.pre_t,MIL_TRK_STYATK,MIL_TRK_STY,MIL_TRK_MVATK,MIL_TRK_MV,COM_TRK_STY,COM_TRK_MV,MIL_WHL_STYATK,MIL_WHL_STY,MIL_WHL_MVATK,MIL_WHL_MV,COM_WHL_STY,COM_WHL_MV,MIL_RWA_STYATK,MIL_RWA_STY,MIL_RWA_MVATK,MIL_RWA_MV,COM_RWA_STY,COM_RWA_MV,MIL_FWA_STYATK,MIL_FWA_STY,MIL_FWA_MVATK,MIL_FWA_MV,COM_FWA_STY,COM_FWA_MV,HUMANWITHWEAPON_STYATK,HUMANWITHWEAPON_MVATK,HUMANWITHWEAPON_MV,HUMANWITHOUTWEAPON_MV,ANI_MV
SoundType,g.t,MIL_TRK_STYATK,0.15,0.05,0.05,0.05,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277
SoundType,g.t,MIL_TRK_STY,0.05,0.15,0.05,0.05,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277
SoundType,g.t,MIL_TRK_MVATK,0.05,0.05,0.15,0.05,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_TRK_MV,0.7,0.7,0.7,0.8,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,COM_TRK_STY,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,COM_TRK_MV,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_WHL_STYATK,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_WHL_STY,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_WHL_MVATK,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_WHL_MV,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,COM_WHL_STY,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,COM_WHL_MV,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_RWA_STYATK,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_RWA_STY,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_RWA_MVATK,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_RWA_MV,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,COM_RWA_STY,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,COM_RWA_MV,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_FWA_STYATK,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_FWA_STY,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_FWA_MVATK,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_FWA_MV,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,COM_FWA_STY,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,COM_FWA_MV,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,HUMANWITHWEAPON_STYATK,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,HUMANWITHWEAPON_MVATK,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,HUMANWITHWEAPON_MV,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,HUMANWITHOUTWEAPON_MV,0.002,0.002,0.002,0.002,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,ANI_MV,0.002,0.002,0.002,0.002,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827,0.0344827
,TargetType,g,MilitaryTracked,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,g.t,MovingWithAttacking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SoundType,g.pre_t,MIL_TRK_STYATK,MIL_TRK_STY,MIL_TRK_MVATK,MIL_TRK_MV,COM_TRK_STY,COM_TRK_MV,MIL_WHL_STYATK,MIL_WHL_STY,MIL_WHL_MVATK,MIL_WHL_MV,COM_WHL_STY,COM_WHL_MV,MIL_RWA_STYATK,MIL_RWA_STY,MIL_RWA_MVATK,MIL_RWA_MV,COM_RWA_STY,COM_RWA_MV,MIL_FWA_STYATK,MIL_FWA_STY,MIL_FWA_MVATK,MIL_FWA_MV,COM_FWA_STY,COM_FWA_MV,HUMANWITHWEAPON_STYATK,HUMANWITHWEAPON_MVATK,HUMANWITHWEAPON_MV,HUMANWITHOUTWEAPON_MV,ANI_MV
SoundType,g.t,MIL_TRK_STYATK,0.15,0.05,0.05,0.05,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277
SoundType,g.t,MIL_TRK_STY,0.05,0.15,0.05,0.05,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277,0.03448277
SoundType,g.t,MIL_TRK_MVATK,0.7,0.7,0.8,0.7,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
SoundType,g.t,MIL_TRK_MV,0.05,0.05,0.05,0.15,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276,0.03448276
